Location,Size,Price (CZK),Link,Total price,Order ID,Update,Building,Property status,Ownership,Property location,Floor,Usable area,Floorage,Balcony,Move-in date,Water,Heating,Gas,Electricity,Transportation,Energy Performance Rating,Energy Performance Certificate,Loft,Furnished,Elevator,Flat type,Terrace,Cellar,Parking,Energy Performance Indicator,Price,Garden area,Cost of living,Garage,Barrier-free access,Loggia,Reconstruction year,Waste,Telecommunications,Annuity,Acquisition of title,Final building approval year,Road,Built-up area,Construction completion date,Note on the price,ID,Discounted,Original cost,Sales commencement date,Visit site date,Visit site date to,Basin area,Basin,Status,Ceiling height,Share size,Number of owners,Starting price,Expert judgement,Minimum Bid,Auction principal,Type of auction,Venue auction,Auction sale date,1st site visit date,2nd site visit date,Advertisement of auction,Number of flats,Share size of common area
"Slavojova, Praha - Nusle",For sale apartment 1+1 32 m²,5500000,https://www.sreality.cz/en/detail/sale/flat/1+1/praha-nusle-slavojova/2362671692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dalejská, Praha 5 - Řeporyje",For sale apartment 2+kt 51 m²,8127840,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-reporyje-dalejska/1957148492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trávníčkova, Praha - Stodůlky",For sale apartment 3+kt 82 m²,7800000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-stodulky-travnickova/1188914508,7 800 000 CZK per property,0202-NP02777,30.09.2024,Panel,In very good condition,Cooperative,,2. floor of total 12 including 1 underground,82 m2,82 m2,,,Water supply,Central district heating,,"230 V, 400 V","Train, Highway, Road, Urban public transportation, Bus",Class G Coll. 264/2020 complying with,,,,,,,2 m2,,,,,,,,6 m2,,Sewerage,"Phone, Internet",,No,1990,,1384 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minská, Praha 10 - Vršovice",For sale apartment 1+1 66 m²,3900000,https://www.sreality.cz/en/detail/sale/flat/1+1/praha-vrsovice-minska/210326860,3 900 000 CZK per property,22633,Yesterday,Brick,In good condition,Personal,,1. floor of total 6,66 m2,,,,Water supply,Local electric,,230 V,,Class D Coll. 148/2007 complying with,Open Energy Performance Certificate,,Partially,,,,,,,,,,,,,,Sewerage,,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Velké Kunratické, Praha 4 - Kunratice",For sale apartment 2+kt 39 m²,5600000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-kunratice-velke-kunraticke/1087522124,5 600 000 CZK per property,22762,Yesterday,Brick,In good condition,Personal,,2. floor of total 5,39 m2,,,,Water supply,Central district heating,Gas pipeline,230 V,"Road, Urban public transportation",Class D Coll. 148/2007 complying with,Open Energy Performance Certificate,,,,,,,,,,,,,,,,Sewerage,,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sokolovská, Praha 9 - Libeň",For sale apartment 3+kt 71 m²,9170000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-liben-sokolovska/4043895372,9 170 000 CZK per property,Sokolovska,29.09.2024,Brick,Renovated,Personal,Quiet part of municipality,3. floor of total 5 including 1 underground,71 m2,65 m2,,,Water supply,Central district heating,,,"Train, Highway, Road, Urban public transportation, Bus",Class D,,,Partially,,,,2 m2,,,,,,,,4 m2,2024,Sewerage,"Phone, Internet, Satellite, Cable TV, Cable distribution, Other",,,,"Concrete, Asphalt",,,"including legal services, escrow, and all fees. Sale directly from the owner.",,,,,,,,,,,,,,,,,,,,,,,,
"Lublinská, Praha 8 - Troja",For sale apartment 3+kt 71 m²,7500000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-troja-lublinska/3733542220,7 500 000 CZK per property,26518,30.09.2024,Panel,In very good condition,Personal,,6. floor of total 13,71 m2,71 m2,,,,Other,,,,Class C,,,,,,,,,58.0 kWh/m^2 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plickova, Praha - Háje",For sale apartment 3+kt 77 m²,8290000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-haje-plickova/4025713228,8 290 000 CZK per property,,Yesterday,Panel,Renovated,Personal,Quiet part of municipality,5. floor of total 11 including 12 underground,77 m2,77 m2,,,Water supply,Central district heating,Gas pipeline,230 V,"Road, Urban public transportation, Bus",Class C,,,Partially,,,,1 m2,,,,,,,,3 m2,,Sewerage,Cable distribution,,,,Asphalt,,,,4025713228,,,,,,,,,,,,,,,,,,,,,,,
"Bryksova, Praha 9 - Černý Most",For sale apartment 2+1 40 m²,5200000,https://www.sreality.cz/en/detail/sale/flat/2+1/praha-cerny-most-bryksova/217285196,5 200 000 CZK per property,21164,20.09.2024,Panel,In very good condition,Personal,Housing development,4. floor of total 8,40 m2,40 m2,,,Water supply,Central district heating,,230 V,"Train, Highway, Road, Urban public transportation, Bus",Class G,,,,,,,,,,,,,,,,,Sewerage,Internet,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Družstevní, Praha - Nusle",For sale apartment 2+kt 41 m²,6490000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-nusle-druzstevni/1989653068,6 490 000 CZK per property,B 4512,Today,Brick,In very good condition,Personal,,4. floor,41 m2,,,,,Local electric,,230 V,Urban public transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Divišovská, Praha 4 - Chodov",For sale apartment 4+kt 91 m²,12990000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-chodov-divisovska/2112062028,12 990 000 CZK per property,0022-NP02766,27.09.2024,Brick,In very good condition,Cooperative,Quiet part of municipality,6. floor of total 6 including 2 underground,91 m2,91 m2,,,Water supply,Central district heating,,,,Class C Coll. 78/2013 complying with,Open Energy Performance Certificate,,,,,3 m2,,,,,,,1,,,,Sewerage,,,Yes,2004,Asphalt,744 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
